Index,year,exposure,business.type,driver.age,driver.gender,marital.status,yrs.licensed,ncd.level,region,body.code,vehicle.age,vehicle.value,no.seats,cubic.cent,horse.power,weight,length,width,height,fuel.type,prior.claims,claim.count,claim.incurred
1,2016,0.916666667,NB,47,Male,Married,3,4,15,A,3,22.6,5,1753,90,1485,4.297,1.795,1.814,Diesel,0,0,0
2,2015,0.166666667,NB,47,Male,Married,3,4,15,A,3,22.6,5,1753,90,1485,4.297,1.795,1.814,Diesel,0,0,0
3,2015,0.916666667,NB,34,Male,Married,1,1,28,E,5,19.2,6,2198,130,1753,4.863,1.974,2.07,Diesel,0,1,606.25
4,2015,0.166666667,NB,34,Male,Married,1,1,28,E,5,19.2,6,2198,130,1753,4.863,1.974,2.07,Diesel,0,0,0
5,2015,0.916666667,NB,47,Male,Divorced,4,1,3,D,4,18,2,1461,65,1120,4.035,1.672,1.825,Diesel,2,0,0
6,2016,0.166666667,NB,47,Male,Divorced,4,1,3,D,4,18,2,1461,65,1120,4.035,1.672,1.825,Diesel,2,1,2863.06
7,2015,0.833333333,NB,34,Female,Married,2,3,28,G,6,30.9,6,1896,105,1785,4.89,1.904,1.959,Diesel,1,0,0
8,2016,0.25,NB,34,Female,Married,2,3,28,G,6,30.9,6,1896,105,1785,4.89,1.904,1.959,Diesel,1,0,0
9,2016,0.916666667,NB,29,Male,Married,1,1,28,E,3,20.4,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,1,27.32
10,2015,0.166666667,NB,29,Male,Married,1,1,28,E,3,20.4,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,0,0
11,2015,0.916666667,NB,44,Male,Married,1,1,3,E,4,17.6,2,1910,100,1310,4.159,1.714,1.82,Diesel,0,0,0
12,2016,0.166666667,NB,44,Male,Married,1,1,3,E,4,17.6,2,1910,100,1310,4.159,1.714,1.82,Diesel,0,0,0
13,2016,0.916666667,NB,51,Male,Married,1,3,38,E,2,20,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,0,0
14,2015,0.166666667,NB,51,Male,Married,1,3,38,E,2,20,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,0,0
15,2016,0.833333333,NB,38,Male,Married,4,3,29,E,3,18.2,2,1868,70,1175,4.137,1.724,1.815,Diesel,1,0,0
16,2015,0.25,NB,38,Male,Married,4,3,29,E,3,18.2,2,1868,70,1175,4.137,1.724,1.815,Diesel,1,0,0
17,2016,0.166666667,NB,35,Male,Married,5,6,3,A,0,36.709,5,1598,102,1552,4.405,1.802,1.833,Diesel,1,0,0
18,2015,0.75,RB,35,Male,Married,5,6,3,A,4,22.3,5,1248,70,1285,4.322,1.684,1.801,Diesel,1,0,0
19,2016,0.166666667,NB,35,Male,Married,5,6,3,A,0,36.709,5,1598,102,1552,4.405,1.802,1.833,Diesel,1,0,0
20,2015,0.833333333,NB,68,Male,Married,2,3,3,D,1,25,2,1461,85,1130,4.035,1.672,1.825,Diesel,0,0,0
21,2016,0.25,NB,68,Male,Married,2,3,3,D,1,25,2,1461,85,1130,4.035,1.672,1.825,Diesel,0,0,0
22,2015,0.916666667,NB,65,Male,Married,1,1,3,A,6,16.5,5,1753,75,1400,4.278,1.795,1.739,Diesel,0,0,0
23,2016,0.166666667,NB,65,Male,Married,1,1,3,A,6,16.5,5,1753,75,1400,4.278,1.795,1.739,Diesel,0,0,0
24,2015,0.833333333,RB,46,Male,Married,3,6,22,G,4,33.3,6,1896,105,1785,4.89,1.904,1.959,Diesel,0,0,0
25,2015,0.083333333,NB,46,Male,Married,3,6,22,E,0,31.5,5,1461,105,1425,4.213,1.83,1.84,Diesel,0,0,0
26,2016,0.166666667,RB,46,Male,Married,3,6,22,G,4,33.3,6,1896,105,1785,4.89,1.904,1.959,Diesel,0,0,0
27,2016,0.833333333,NB,47,Male,Married,3,3,38,B,2,21,3,2476,94,1670,4.795,1.74,1.965,Diesel,1,0,0
28,2015,0.25,NB,47,Male,Married,3,3,38,B,2,21,3,2476,94,1670,4.795,1.74,1.965,Diesel,1,0,0
29,2016,0.833333333,RB,34,Male,Married,5,6,3,D,5,16.1,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
30,2015,0.25,RB,34,Male,Married,5,6,3,D,5,16.1,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
31,2016,0.833333333,NB,52,Male,Married,4,3,3,A,1,22.25,5,1560,75,1422,4.38,2.112,1.875,Diesel,0,0,0
32,2015,0.25,NB,52,Male,Married,4,3,3,A,1,22.25,5,1560,75,1422,4.38,2.112,1.875,Diesel,0,0,0
33,2015,0.833333333,RB,21,Male,Married,3,4,28,A,4,27,5,1896,105,1446,4.405,1.802,1.833,Diesel,0,0,0
34,2016,0.25,RB,21,Male,Married,3,4,28,A,4,27,5,1896,105,1446,4.405,1.802,1.833,Diesel,0,0,0
35,2015,0.833333333,NB,56,Female,Divorced,1,3,3,D,4,17.8,2,1248,70,1245,4.322,1.684,1.801,Diesel,0,0,0
36,2016,0.25,NB,56,Female,Divorced,1,3,3,D,4,17.8,2,1248,70,1245,4.322,1.684,1.801,Diesel,0,0,0
37,2015,0.416666667,RB,35,Male,Married,4,4,3,E,4,19.1,2,1868,70,1175,4.137,1.724,1.815,Diesel,1,0,0
38,2016,0.083333333,NB,58,Male,Married,3,3,3,A,4,27.3,5,1896,105,1446,4.405,1.802,1.833,Diesel,2,0,0
39,2016,0.833333333,NB,52,Male,Married,1,1,3,D,0,28.77,2,1461,85,1130,4.035,1.672,1.825,Diesel,0,0,0
40,2016,0.25,NB,52,Male,Married,1,1,3,D,0,28.77,2,1461,85,1130,4.035,1.672,1.825,Diesel,0,1,1235.9
41,2015,0.833333333,NB,58,Male,Married,3,1,3,C,12,14.9,5,2700,85,1920,4.99,1.7,1.61,Diesel,0,0,0
42,2016,0.25,NB,58,Male,Married,3,1,3,C,12,14.9,5,2700,85,1920,4.99,1.7,1.61,Diesel,0,0,0
43,2015,0.833333333,NB,46,Male,Married,2,1,28,C,0,48.5,5,2499,136,1905,5.035,1.8,1.735,Diesel,1,1,345.29
44,2016,0.25,NB,46,Male,Married,2,1,28,C,0,48.5,5,2499,136,1905,5.035,1.8,1.735,Diesel,1,0,0
45,2015,0.833333333,NB,32,Male,Married,1,1,3,D,4,16.8,2,1399,68,1090,3.917,1.683,1.463,Diesel,0,0,0
